SEGMENT,DISTANCE,ANGLE
AG,346.877264128778,1.4132135623730953
TG,1132.42777118242,1.4132135623730953
AT,1250.32011956689,1.4132135623730953
RO,315.793768999755,1.4132135623730953
SO,577.344424441473,1.4132135623730953
RS,549.208603143639,1.4132135623730953
MP,315.793768999813,1.4132135623730953
BH,346.877264128968,1.4132135623730953
AG,346.723501727453,1.4132145623730952
TG,1131.92821994940,1.4132145623730952
AT,1249.76724016358,1.4132145623730952
RO,315.653830136045,1.4132145623730952
SO,577.089803855006,1.4132145623730952
RS,548.965204597790,1.4132145623730952
MP,315.653830136201,1.4132145623730952
BH,346.723501727565,1.4132145623730952
AG,346.569739476592,1.413215562373095
TG,1131.42866701838,1.413215562373095
AT,1249.21436006166,1.413215562373095
RO,315.513891369689,1.413215562373095
SO,576.835182352627,1.413215562373095
RS,548.721806243032,1.413215562373095
MP,315.513891369793,1.413215562373095
BH,346.569739476701,1.413215562373095
AG,346.415977376385,1.413216562373095
TG,1130.92911238857,1.413216562373095
AT,1248.66147926069,1.413216562373095
RO,315.373952700592,1.413216562373095
SO,576.580559933982,1.413216562373095
RS,548.478408079339,1.413216562373095
MP,315.373952700477,1.413216562373095
BH,346.415977376329,1.413216562373095
AG,346.262215426788,1.413217562373095
TG,1130.42955606019,1.413217562373095
AT,1248.10859776072,1.413217562373095
RO,315.234014128411,1.413217562373095
SO,576.325936598969,1.413217562373095
RS,548.235010106353,1.413217562373095
MP,315.234014128487,1.413217562373095
BH,346.262215426616,1.413217562373095
AG,346.108453627351,1.4132185623730948
TG,1129.92999803332,1.4132185623730948
AT,1247.55571556168,1.4132185623730948
RO,315.094075653667,1.4132185623730948
SO,576.071312347770,1.4132185623730948
RS,547.991612324357,1.4132185623730948
MP,315.094075653682,1.4132185623730948
BH,346.108453627554,1.4132185623730948
AG,345.954691979044,1.4132195623730948
TG,1129.43043830894,1.4132195623730948
AT,1247.00283266480,1.4132195623730948
RO,314.954137276303,1.4132195623730948
SO,575.816687180648,1.4132195623730948
RS,547.748214733624,1.4132195623730948
MP,314.954137276129,1.4132195623730948
BH,345.954691979005,1.4132195623730948
AG,345.800930480996,1.4132205623730947
TG,1128.93087688565,1.4132205623730947
AT,1246.44994906873,1.4132205623730947
RO,314.814198995907,1.4132205623730947
SO,575.562061097360,1.4132205623730947
RS,547.504817333560,1.4132205623730947
MP,314.814198996122,1.4132205623730947
BH,345.800930481119,1.4132205623730947
AG,345.647169133619,1.4132215623730946
TG,1128.43131376415,1.4132215623730946
AT,1245.89706477418,1.4132215623730946
RO,314.674260812653,1.4132215623730946
