x1,y1,z1,x2,y2,z2
,,,1.107149611,376,2
,,,1.107149611,377,2
,,,1.107149611,378,2
,,,1.107149611,379,2
,,,1.107149611,380,4
,,,1.107149611,381,4
,,,1.107149611,382,8
,,,1.107149611,383,10
,,,1.107149611,384,10
,,,1.107149611,385,8
,,,1.107149611,386,4
,,,1.107149611,387,4
,,,1.107149611,388,2
,,,1.107149611,389,2
,,,1.107149611,390,2
,,,1.107149611,391,2
,,,1.107149611,350,2
,,,1.107149611,351,4
,,,1.107149611,352,4
,,,1.107149611,353,2
,,,1.107149611,414,2
,,,1.107149611,415,4
,,,1.107149611,416,4
,,,1.107149611,417,2
,,,1.107149611,320,6
,,,1.107149611,321,4
,,,1.107149611,318,4
,,,1.107149611,319,6
,,,1.107149611,248,4
,,,1.107149611,249,4
,,,1.107149611,250,4
,,,1.107149611,251,4
,,,1.107149611,252,6
,,,1.107149611,253,6
,,,1.107149611,254,10
1.107149611,255,12,,,
1.107149611,256,12,,,
,,,1.107149611,257,10
,,,1.107149611,258,6
,,,1.107149611,259,6
,,,1.107149611,260,4
,,,1.107149611,261,4
,,,1.107149611,262,4
,,,1.107149611,263,4
,,,1.107149611,286,2
,,,1.107149611,287,4
,,,1.107149611,288,4
,,,1.107149611,289,2
,,,1.107149611,224,4
,,,1.107149611,225,2
,,,1.107149611,222,2
,,,1.107149611,223,4
,,,1.107149611,125,4
,,,1.107149611,126,8
1.107149611,127,10,,,
1.107149611,128,10,,,
,,,1.107149611,129,8
,,,1.107149611,130,4
,,,1.107149611,131,4
,,,1.107149611,132,2
,,,1.107149611,133,2
,,,1.107149611,134,2
,,,1.107149611,135,2
,,,1.107149611,120,2
,,,1.107149611,121,2
,,,1.107149611,122,2
,,,1.107149611,123,2
,,,1.107149611,124,4
,,,1.107149611,158,2
,,,1.107149611,159,4
,,,1.107149611,160,4
,,,1.107149611,161,2
,,,1.107149611,190,4
1.107149611,191,6,,,
1.107149611,192,6,,,
,,,1.107149611,193,4
,,,1.107149611,94,2
,,,1.107149611,95,4
,,,1.107149611,96,4
,,,1.107149611,97,2
,,,1.107149611,62,4
1.107149611,63,6,,,
1.107149611,64,6,,,
,,,1.107149611,65,4
1.107149611,0,16,,,
,,,1.107149611,1,14
,,,1.107149611,2,10
,,,1.107149611,3,10
,,,1.107149611,4,8
,,,1.107149611,5,8
,,,1.107149611,6,8
,,,1.107149611,7,8
,,,1.107149611,8,4
,,,1.107149611,9,4
,,,1.107149611,10,4
