x1,y1,z1,x2,y2,z2
1.41547199,1546,4,,,
1.41547199,520,4,,,
1.41547199,577,4,,,
1.41547199,389,2,,,
1.41547199,193,4,,,
1.41547199,1506,2,,,
1.41547199,495,2,,,
1.41547199,736,4,,,
1.41547199,479,4,,,
1.41547199,1695,4,,,
1.41547199,1504,6,,,
1.41547199,46,4,,,
1.41547199,2021,8,,,
1.41547199,61,4,,,
1.41547199,1154,4,,,
1.41547199,926,2,,,
1.41547199,481,4,,,
1.41547199,1977,2,,,
1.41547199,63,14,,,
1.41547199,1533,10,,,
1.41547199,1406,8,,,
1.41547199,1921,14,,,
1.41547199,1991,4,,,
1.41547199,2030,8,,,
1.41547199,1049,4,,,
1.41547199,251,4,,,
1.41547199,1551,4,,,
1.41547199,1440,4,,,
1.41547199,1965,2,,,
1.41547199,1656,2,,,
1.41547199,2036,10,,,
1.41547199,100,2,,,
1.41547199,1985,10,,,
1.41547199,478,2,,,
1.41547199,1246,2,,,
1.41547199,670,2,,,
1.41547199,1513,2,,,
1.41547199,1697,2,,,
1.41547199,1344,6,,,
1.41547199,1024,18,,,
1.41547199,446,4,,,
1.41547199,2022,8,,,
1.41547199,1282,6,,,
1.41547199,644,2,,,
1.41547199,961,4,,,
1.41547199,517,8,,,
1.41547199,995,4,,,
1.41547199,2003,4,,,
1.41547199,1008,10,,,
1.41547199,1409,8,,,
1.41547199,263,4,,,
1.41547199,1937,2,,,
1.41547199,257,10,,,
1.41547199,1042,4,,,
1.41547199,1988,4,,,
1.41547199,1982,8,,,
1.41547199,1796,4,,,
1.41547199,121,4,,,
1.41547199,52,4,,,
1.41547199,1787,4,,,
1.41547199,1377,2,,,
1.41547199,2026,8,,,
1.41547199,2041,14,,,
1.41547199,537,2,,,
1.41547199,1472,6,,,
1.41547199,1342,4,,,
1.41547199,1952,8,,,
1.41547199,252,10,,,
1.41547199,1376,4,,,
1.41547199,74,2,,,
1.41547199,483,2,,,
1.41547199,1967,2,,,
1.41547199,56,4,,,
1.41547199,351,4,,,
1.41547199,1507,2,,,
1.41547199,415,4,,,
1.41547199,388,2,,,
1.41547199,1510,2,,,
